"filename", "language", "JSON", "odin", "Markdown", "comment", "blank", "total"
"d:\projects\rune3d\AGENTS.md", "Markdown", 0, 0, 571, 0, 168, 739
"d:\projects\rune3d\README.md", "Markdown", 0, 0, 359, 0, 114, 473
"d:\projects\rune3d\examples\audio_components\input\default.input.json", "JSON", 8, 0, 0, 0, 1, 9
"d:\projects\rune3d\examples\audio_components\main.odin", "odin", 0, 81, 0, 2, 11, 94
"d:\projects\rune3d\examples\audio_components\project.json", "JSON", 12, 0, 0, 0, 1, 13
"d:\projects\rune3d\examples\audio_components\scenes\main.scene.json", "JSON", 32, 0, 0, 0, 1, 33
"d:\projects\rune3d\examples\camera_switching\input\default.input.json", "JSON", 8, 0, 0, 0, 1, 9
"d:\projects\rune3d\examples\camera_switching\main.odin", "odin", 0, 52, 0, 0, 9, 61
"d:\projects\rune3d\examples\camera_switching\project.json", "JSON", 12, 0, 0, 0, 1, 13
"d:\projects\rune3d\examples\camera_switching\scenes\main.scene.json", "JSON", 53, 0, 0, 0, 1, 54
"d:\projects\rune3d\examples\custom_mover\input\default.input.json", "JSON", 15, 0, 0, 0, 1, 16
"d:\projects\rune3d\examples\custom_mover\main.odin", "odin", 0, 43, 0, 0, 9, 52
"d:\projects\rune3d\examples\custom_mover\mover.odin", "odin", 0, 28, 0, 2, 6, 36
"d:\projects\rune3d\examples\custom_mover\project.json", "JSON", 12, 0, 0, 0, 1, 13
"d:\projects\rune3d\examples\custom_mover\scenes\main.scene.json", "JSON", 19, 0, 0, 0, 1, 20
"d:\projects\rune3d\examples\first_person_3d\controller.odin", "odin", 0, 72, 0, 0, 10, 82
"d:\projects\rune3d\examples\first_person_3d\input\default.input.json", "JSON", 17, 0, 0, 0, 1, 18
"d:\projects\rune3d\examples\first_person_3d\main.odin", "odin", 0, 56, 0, 0, 9, 65
"d:\projects\rune3d\examples\first_person_3d\project.json", "JSON", 14, 0, 0, 0, 1, 15
"d:\projects\rune3d\examples\first_person_3d\scenes\main.scene.json", "JSON", 74, 0, 0, 0, 1, 75
"d:\projects\rune3d\examples\hello_3d\input\default.input.json", "JSON", 4, 0, 0, 0, 1, 5
"d:\projects\rune3d\examples\hello_3d\main.odin", "odin", 0, 51, 0, 0, 9, 60
"d:\projects\rune3d\examples\hello_3d\project.json", "JSON", 12, 0, 0, 0, 1, 13
"d:\projects\rune3d\examples\hello_3d\scenes\main.scene.json", "JSON", 35, 0, 0, 0, 1, 36
"d:\projects\rune3d\examples\hello_world\input\default.input.json", "JSON", 4, 0, 0, 0, 1, 5
"d:\projects\rune3d\examples\hello_world\main.odin", "odin", 0, 31, 0, 0, 8, 39
"d:\projects\rune3d\examples\hello_world\project.json", "JSON", 16, 0, 0, 0, 1, 17
"d:\projects\rune3d\examples\hello_world\scenes\main.scene.json", "JSON", 21, 0, 0, 0, 1, 22
"d:\projects\rune3d\examples\model_scene_3d\input\default.input.json", "JSON", 1, 0, 0, 0, 1, 2
"d:\projects\rune3d\examples\model_scene_3d\main.odin", "odin", 0, 48, 0, 0, 6, 54
"d:\projects\rune3d\examples\model_scene_3d\project.json", "JSON", 7, 0, 0, 0, 1, 8
"d:\projects\rune3d\examples\model_scene_3d\scenes\main.scene.json", "JSON", 21, 0, 0, 0, 1, 22
